1, 1, 13:27
1, 1, 13:27
10, 7, DT#2021-11-30-12:33:29 
10, 8, DT#2021-11-30-12:33:37 
10, 15, DT#2021-11-30-12:33:49 
10, 7, DT#2021-11-30-12:34:01 
10, 8, DT#2021-11-30-12:34:08 
10, 15, DT#2021-11-30-12:34:20 
10, 7, DT#2021-11-30-12:34:32 
10, 8, DT#2021-11-30-12:34:40 
10, 15, DT#2021-11-30-12:34:51 
10, 7, DT#2021-11-30-12:35:03 
10, 8, DT#2021-11-30-12:35:11 
10, 15, DT#2021-11-30-12:35:22 
10, 7, DT#2021-11-30-12:35:34 
10, 8, DT#2021-11-30-12:35:42 
10, 15, DT#2021-11-30-12:35:53 
10, 7, DT#2021-11-30-12:36:05 
10, 8, DT#2021-11-30-12:36:13 
10, 15, DT#2021-11-30-12:36:24 
10, 7, DT#2021-11-30-12:36:36 
10, 8, DT#2021-11-30-12:36:43 
10, 15, DT#2021-11-30-12:36:55 
10, 7, DT#2021-11-30-12:37:07 
10, 8, DT#2021-11-30-12:37:14 
10, 15, DT#2021-11-30-12:37:26 
10, 7, DT#2021-11-30-12:37:38 
10, 8, DT#2021-11-30-12:37:45 
10, 15, DT#2021-11-30-12:37:57 
10, 7, DT#2021-11-30-12:39:48 
10, 8, DT#2021-11-30-12:39:53 
10, 15, DT#2021-11-30-12:39:59 
10, 7, DT#2021-11-30-12:40:17 
10, 8, DT#2021-11-30-12:40:27 
10, 15, DT#2021-11-30-12:40:35 
10, 7, DT#2021-11-30-12:40:47 
10, 8, DT#2021-11-30-12:40:59 
10, 15, DT#2021-11-30-12:41:06 
10, 7, DT#2021-11-30-12:41:18 
10, 8, DT#2021-11-30-12:41:30 
10, 15, DT#2021-11-30-12:41:38 
10, 7, DT#2021-11-30-12:41:49 
10, 8, DT#2021-11-30-12:42:01 
10, 15, DT#2021-11-30-12:42:09 
10, 7, DT#2021-11-30-12:42:19 
10, 8, DT#2021-11-30-12:42:32 
10, 15, DT#2021-11-30-12:42:40 
10, 7, DT#2021-11-30-12:42:50 
10, 8, DT#2021-11-30-12:43:03 
10, 15, DT#2021-11-30-12:45:13 
10, 7, DT#2021-11-30-12:45:18 
10, 8, DT#2021-11-30-12:45:24 
10, 15, DT#2021-11-30-12:45:43 
10, 7, DT#2021-11-30-12:45:53 
10, 8, DT#2021-11-30-12:46:00 
10, 15, DT#2021-11-30-12:46:12 
10, 7, DT#2021-11-30-12:46:24 
10, 8, DT#2021-11-30-12:46:32 
10, 15, DT#2021-11-30-12:46:44 
10, 7, DT#2021-11-30-12:46:56 
10, 8, DT#2021-11-30-12:47:04 
10, 15, DT#2021-11-30-12:47:15 
10, 7, DT#2021-11-30-12:47:27 
10, 8, DT#2021-11-30-12:47:35 
10, 15, DT#2021-11-30-12:47:46 
10, 7, DT#2021-11-30-12:48:52 
10, 8, DT#2021-11-30-12:48:57 
10, 15, DT#2021-11-30-12:49:03 
10, 7, DT#2021-11-30-12:49:22 
10, 8, DT#2021-11-30-12:49:32 
10, 15, DT#2021-11-30-12:49:39 
10, 7, DT#2021-11-30-12:49:51 
10, 8, DT#2021-11-30-12:50:03 
10, 15, DT#2021-11-30-12:50:11 
10, 7, DT#2021-11-30-12:50:22 
10, 8, DT#2021-11-30-12:50:34 
10, 15, DT#2021-11-30-12:50:42 
10, 7, DT#2021-11-30-12:50:53 
10, 8, DT#2021-11-30-12:51:05 
10, 15, DT#2021-11-30-12:51:13 
10, 7, DT#2021-11-30-12:51:24 
10, 8, DT#2021-11-30-12:51:36 
10, 15, DT#2021-11-30-12:51:44 
10, 7, DT#2021-11-30-12:51:55 
10, 15, DT#2021-11-30-12:53:22 
10, 7, DT#2021-11-30-12:53:28 
10, 8, DT#2021-11-30-12:53:34 
10, 15, DT#2021-11-30-12:53:52 
10, 7, DT#2021-11-30-12:54:02 
10, 8, DT#2021-11-30-12:54:09 
10, 15, DT#2021-11-30-12:54:22 
10, 7, DT#2021-11-30-12:54:34 
10, 15, DT#2021-11-30-12:56:08 
10, 7, DT#2021-11-30-12:56:20 
10, 8, DT#2021-11-30-12:56:28 
10, 15, DT#2021-11-30-12:56:39 
10, 7, DT#2021-11-30-12:56:51 
10, 8, DT#2021-11-30-12:56:59 
10, 15, DT#2021-11-30-12:57:10 
10, 7, DT#2021-11-30-12:57:23 
10, 15, DT#2021-11-30-12:57:58 
